,factory,,,,,,,,,,,,,,,,,,
kernel,linear,,,,,,rbf,,,,,,kernel,rbf,,,,,
c,c=0.5,,c=1,,c=5,,c=0.5,,c=1,,c=5,,c,c=0.5,,c=1,,c=5,
features,single,reverse,single,reverse,single,reverse,single,reverse,single,reverse,single,reverse,features,single,reverse,single,reverse,single,reverse
CR,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,CR,92.383,92.383,92.383,92.383,92.383,92.383
CS,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,CS,92.383,92.383,92.383,92.383,92.383,92.383
CT,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,CT,92.383,92.383,92.383,92.383,92.383,92.383
CU,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,CU,92.383,92.383,92.383,92.383,92.383,92.383
CV,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,CV,92.383,92.383,92.383,92.383,92.383,92.383
CW,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,CW,92.383,92.383,92.383,92.383,92.383,92.383
CX,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,CX,92.383,92.383,92.383,92.383,92.383,92.383
CY,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,CY,92.383,92.383,92.383,92.383,92.383,92.383
CZ,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,CZ,92.383,92.383,92.383,92.383,92.383,92.383
DA,92.383,91.0773,92.383,91.0773,92.383,91.0773,96.518,92.383,96.3003,92.383,96.518,92.383,DA,96.518,92.383,96.3003,92.383,96.518,92.383
